Device: cpu
Starting training...
Epoch     0 | Loss: 118.794044 | s_MSE: 109.521141 | Delta_MSE: 9.271586 | LR: 1.0e-03 | Grad: 15.8105 | B_mean: 0.0003 | B0_calc: -0.0003 | Mass_mean: 1.3900 | L1_sum: 0.3307 | L2_sum: 24.9810 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_0.png
Epoch   100 | Loss: 0.126329 | s_MSE: 0.030855 | Delta_MSE: 0.022904 | LR: 1.0e-03 | Grad: 8.6592 | B_mean: 0.0030 | B0_calc: 0.0003 | Mass_mean: 0.4278 | L1_sum: 4.6111 | L2_sum: 18.7590 
Epoch   200 | Loss: 0.073854 | s_MSE: 0.009734 | Delta_MSE: 0.007022 | LR: 1.0e-03 | Grad: 15.5068 | B_mean: 0.0024 | B0_calc: 0.0003 | Mass_mean: 0.4289 | L1_sum: 1.1499 | L2_sum: 25.5742 
Epoch   300 | Loss: 0.072231 | s_MSE: 0.009501 | Delta_MSE: 0.006147 | LR: 1.0e-03 | Grad: 15.5195 | B_mean: 0.0024 | B0_calc: 0.0003 | Mass_mean: 0.4293 | L1_sum: 1.0653 | L2_sum: 26.8460 
Epoch   400 | Loss: 0.067472 | s_MSE: 0.007593 | Delta_MSE: 0.005074 | LR: 1.0e-03 | Grad: 13.1224 | B_mean: 0.0024 | B0_calc: 0.0003 | Mass_mean: 0.4284 | L1_sum: 1.0100 | L2_sum: 27.0898 
Epoch   500 | Loss: 0.061617 | s_MSE: 0.006012 | Delta_MSE: 0.003952 | LR: 1.0e-03 | Grad: 10.7445 | B_mean: 0.0025 | B0_calc: 0.0003 | Mass_mean: 0.4295 | L1_sum: 0.9619 | L2_sum: 26.7887 
Epoch   600 | Loss: 0.055790 | s_MSE: 0.005064 | Delta_MSE: 0.003302 | LR: 1.0e-03 | Grad: 9.0289 | B_mean: 0.0025 | B0_calc: 0.0003 | Mass_mean: 0.4325 | L1_sum: 0.9083 | L2_sum: 26.5631 
Epoch   700 | Loss: 0.050959 | s_MSE: 0.004530 | Delta_MSE: 0.002788 | LR: 1.0e-03 | Grad: 7.8286 | B_mean: 0.0026 | B0_calc: 0.0003 | Mass_mean: 0.4358 | L1_sum: 0.7988 | L2_sum: 26.4750 
Epoch   800 | Loss: 0.045780 | s_MSE: 0.003578 | Delta_MSE: 0.002197 | LR: 1.0e-03 | Grad: 6.5030 | B_mean: 0.0026 | B0_calc: 0.0003 | Mass_mean: 0.4392 | L1_sum: 0.6534 | L2_sum: 26.3832 
Epoch   900 | Loss: 0.042888 | s_MSE: 0.003145 | Delta_MSE: 0.001804 | LR: 1.0e-03 | Grad: 5.6967 | B_mean: 0.0027 | B0_calc: 0.0003 | Mass_mean: 0.4402 | L1_sum: 0.5281 | L2_sum: 26.3685 
Epoch  1000 | Loss: 0.037524 | s_MSE: 0.001743 | Delta_MSE: 0.000996 | LR: 1.0e-03 | Grad: 4.4407 | B_mean: 0.0028 | B0_calc: 0.0003 | Mass_mean: 0.4406 | L1_sum: 0.3759 | L2_sum: 25.6405 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_1000.png
Epoch  1100 | Loss: 0.029062 | s_MSE: 0.001744 | Delta_MSE: 0.000974 | LR: 1.0e-03 | Grad: 3.1710 | B_mean: 0.0030 | B0_calc: 0.0003 | Mass_mean: 0.4656 | L1_sum: 0.3827 | L2_sum: 25.5398 
Epoch  1200 | Loss: 0.021257 | s_MSE: 0.000160 | Delta_MSE: 0.000137 | LR: 1.0e-03 | Grad: 0.3331 | B_mean: 0.0031 | B0_calc: 0.0003 | Mass_mean: 0.4945 | L1_sum: 0.3149 | L2_sum: 24.9768 
Epoch  1300 | Loss: 0.018217 | s_MSE: 0.000204 | Delta_MSE: 0.000110 | LR: 1.0e-03 | Grad: 0.2113 | B_mean: 0.0032 | B0_calc: 0.0003 | Mass_mean: 0.6612 | L1_sum: 0.3302 | L2_sum: 24.8631 
Epoch  1400 | Loss: 0.017864 | s_MSE: 0.000098 | Delta_MSE: 0.000110 | LR: 1.0e-03 | Grad: 0.4770 | B_mean: 0.0032 | B0_calc: 0.0003 | Mass_mean: 0.6852 | L1_sum: 0.2947 | L2_sum: 25.0541 
Epoch  1500 | Loss: 0.017744 | s_MSE: 0.000242 | Delta_MSE: 0.000097 | LR: 1.0e-03 | Grad: 0.7768 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6884 | L1_sum: 0.3333 | L2_sum: 24.8151 
Epoch  1600 | Loss: 0.017551 | s_MSE: 0.000109 | Delta_MSE: 0.000093 | LR: 1.0e-03 | Grad: 0.3173 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6900 | L1_sum: 0.2542 | L2_sum: 25.1576 
Epoch  1700 | Loss: 0.017438 | s_MSE: 0.000107 | Delta_MSE: 0.000121 | LR: 1.0e-03 | Grad: 0.8110 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6906 | L1_sum: 0.2483 | L2_sum: 25.1736 
Epoch  1800 | Loss: 0.017968 | s_MSE: 0.000360 | Delta_MSE: 0.000272 | LR: 1.0e-03 | Grad: 1.0132 | B_mean: 0.0032 | B0_calc: 0.0003 | Mass_mean: 0.6913 | L1_sum: 0.2321 | L2_sum: 25.4066 
Epoch  1900 | Loss: 0.017765 | s_MSE: 0.000574 | Delta_MSE: 0.000343 | LR: 1.0e-03 | Grad: 1.3516 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6901 | L1_sum: 0.2586 | L2_sum: 24.8108 
Epoch  2000 | Loss: 0.017719 | s_MSE: 0.000597 | Delta_MSE: 0.000308 | LR: 1.0e-03 | Grad: 1.0944 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6902 | L1_sum: 0.2708 | L2_sum: 24.8176 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_2000.png
Epoch  2100 | Loss: 0.017087 | s_MSE: 0.000143 | Delta_MSE: 0.000111 | LR: 1.0e-03 | Grad: 0.1144 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6910 | L1_sum: 0.2067 | L2_sum: 25.0709 
Epoch  2200 | Loss: 0.017030 | s_MSE: 0.000075 | Delta_MSE: 0.000107 | LR: 1.0e-03 | Grad: 0.6102 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6915 | L1_sum: 0.1770 | L2_sum: 25.2298 
Epoch  2300 | Loss: 0.017151 | s_MSE: 0.000323 | Delta_MSE: 0.000143 | LR: 1.0e-03 | Grad: 0.5000 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6910 | L1_sum: 0.1983 | L2_sum: 25.0336 
Epoch  2400 | Loss: 0.017100 | s_MSE: 0.000134 | Delta_MSE: 0.000126 | LR: 1.0e-03 | Grad: 0.8405 | B_mean: 0.0032 | B0_calc: 0.0003 | Mass_mean: 0.6924 | L1_sum: 0.1414 | L2_sum: 25.5141 
Epoch  2500 | Loss: 0.017007 | s_MSE: 0.000214 | Delta_MSE: 0.000153 | LR: 1.0e-03 | Grad: 0.5282 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6917 | L1_sum: 0.1619 | L2_sum: 25.0657 
Epoch  2600 | Loss: 0.016936 | s_MSE: 0.000104 | Delta_MSE: 0.000126 | LR: 1.0e-03 | Grad: 1.2727 | B_mean: 0.0032 | B0_calc: 0.0003 | Mass_mean: 0.6928 | L1_sum: 0.1679 | L2_sum: 25.2067 
Epoch  2700 | Loss: 0.016740 | s_MSE: 0.000191 | Delta_MSE: 0.000135 | LR: 1.0e-03 | Grad: 0.5426 | B_mean: 0.0033 | B0_calc: 0.0003 | Mass_mean: 0.6924 | L1_sum: 0.1015 | L2_sum: 25.2113 
Epoch  2800 | Loss: 0.018134 | s_MSE: 0.001033 | Delta_MSE: 0.000672 | LR: 1.0e-03 | Grad: 2.8059 | B_mean: 0.0032 | B0_calc: 0.0003 | Mass_mean: 0.6892 | L1_sum: 0.0865 | L2_sum: 25.8056 
Epoch  2900 | Loss: 0.016144 | s_MSE: 0.000932 | Delta_MSE: 0.000546 | LR: 1.0e-03 | Grad: 1.6328 | B_mean: 0.0031 | B0_calc: 0.0003 | Mass_mean: 0.6454 | L1_sum: 0.1182 | L2_sum: 25.7951 
Epoch  3000 | Loss: 0.020989 | s_MSE: 0.001948 | Delta_MSE: 0.001362 | LR: 1.0e-03 | Grad: 2.8446 | B_mean: 0.0028 | B0_calc: 0.0003 | Mass_mean: 0.6698 | L1_sum: 0.4464 | L2_sum: 24.9480 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_3000.png
Epoch  3100 | Loss: 0.007676 | s_MSE: 0.000075 | Delta_MSE: 0.000120 | LR: 1.0e-03 | Grad: 0.2628 | B_mean: 0.0031 | B0_calc: 0.0003 | Mass_mean: 0.6516 | L1_sum: 0.1534 | L2_sum: 25.2289 
Epoch  3200 | Loss: 0.007601 | s_MSE: 0.000097 | Delta_MSE: 0.000074 | LR: 1.0e-03 | Grad: 0.1386 | B_mean: 0.0031 | B0_calc: 0.0003 | Mass_mean: 0.6395 | L1_sum: 0.1998 | L2_sum: 25.1551 
Epoch  3300 | Loss: 0.002603 | s_MSE: 0.000201 | Delta_MSE: 0.000122 | LR: 1.0e-03 | Grad: 0.7078 | B_mean: 0.0031 | B0_calc: 0.0001 | Mass_mean: 0.5987 | L1_sum: 0.2058 | L2_sum: 25.0862 
Epoch  3400 | Loss: 0.001864 | s_MSE: 0.000049 | Delta_MSE: 0.000036 | LR: 1.0e-03 | Grad: 0.0737 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5735 | L1_sum: 0.2135 | L2_sum: 25.1538 
Epoch  3500 | Loss: 0.001771 | s_MSE: 0.000039 | Delta_MSE: 0.000032 | LR: 1.0e-03 | Grad: 0.0636 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5584 | L1_sum: 0.2108 | L2_sum: 25.1896 
Epoch  3600 | Loss: 0.001751 | s_MSE: 0.000035 | Delta_MSE: 0.000034 | LR: 1.0e-03 | Grad: 0.0368 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5556 | L1_sum: 0.2152 | L2_sum: 25.1456 
Epoch  3700 | Loss: 0.001748 | s_MSE: 0.000032 | Delta_MSE: 0.000038 | LR: 1.0e-03 | Grad: 0.0546 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5558 | L1_sum: 0.2169 | L2_sum: 25.1329 
Epoch  3800 | Loss: 0.001738 | s_MSE: 0.000035 | Delta_MSE: 0.000030 | LR: 1.0e-03 | Grad: 0.0543 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5561 | L1_sum: 0.2099 | L2_sum: 25.1716 
Epoch  3900 | Loss: 0.001880 | s_MSE: 0.000106 | Delta_MSE: 0.000105 | LR: 1.0e-03 | Grad: 0.6422 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5598 | L1_sum: 0.2112 | L2_sum: 25.1560 
Epoch  4000 | Loss: 0.002017 | s_MSE: 0.000184 | Delta_MSE: 0.000165 | LR: 1.0e-03 | Grad: 0.8901 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5611 | L1_sum: 0.2168 | L2_sum: 25.1296 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_4000.png
Epoch  4100 | Loss: 0.001814 | s_MSE: 0.000071 | Delta_MSE: 0.000078 | LR: 1.0e-03 | Grad: 0.4029 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5727 | L1_sum: 0.2221 | L2_sum: 25.1006 
Epoch  4200 | Loss: 0.001866 | s_MSE: 0.000147 | Delta_MSE: 0.000050 | LR: 1.0e-03 | Grad: 0.4834 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5780 | L1_sum: 0.2082 | L2_sum: 25.2043 
Epoch  4300 | Loss: 0.001776 | s_MSE: 0.000052 | Delta_MSE: 0.000064 | LR: 1.0e-03 | Grad: 0.2568 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5780 | L1_sum: 0.2190 | L2_sum: 25.1252 
Epoch  4400 | Loss: 0.002086 | s_MSE: 0.000235 | Delta_MSE: 0.000200 | LR: 1.0e-03 | Grad: 0.7241 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5776 | L1_sum: 0.2280 | L2_sum: 25.0530 
Epoch  4500 | Loss: 0.002018 | s_MSE: 0.000252 | Delta_MSE: 0.000088 | LR: 1.0e-03 | Grad: 0.6156 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5811 | L1_sum: 0.2196 | L2_sum: 25.2950 
Epoch  4600 | Loss: 0.002389 | s_MSE: 0.000530 | Delta_MSE: 0.000195 | LR: 1.0e-03 | Grad: 1.0473 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5823 | L1_sum: 0.2065 | L2_sum: 25.2609 
Epoch  4700 | Loss: 0.001755 | s_MSE: 0.000047 | Delta_MSE: 0.000055 | LR: 1.0e-03 | Grad: 0.1972 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5809 | L1_sum: 0.2327 | L2_sum: 25.0958 
Epoch  4800 | Loss: 0.004576 | s_MSE: 0.001876 | Delta_MSE: 0.001057 | LR: 1.0e-03 | Grad: 2.5811 | B_mean: 0.0031 | B0_calc: 0.0001 | Mass_mean: 0.5761 | L1_sum: 0.2861 | L2_sum: 24.7446 
Epoch  4900 | Loss: 0.002669 | s_MSE: 0.000620 | Delta_MSE: 0.000418 | LR: 1.0e-03 | Grad: 1.4001 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5778 | L1_sum: 0.2221 | L2_sum: 24.9577 
Epoch  5000 | Loss: 0.002023 | s_MSE: 0.000281 | Delta_MSE: 0.000109 | LR: 1.0e-03 | Grad: 0.9981 | B_mean: 0.0031 | B0_calc: 0.0001 | Mass_mean: 0.5810 | L1_sum: 0.2447 | L2_sum: 24.9925 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_5000.png
Epoch  5100 | Loss: 0.001822 | s_MSE: 0.000068 | Delta_MSE: 0.000100 | LR: 1.0e-03 | Grad: 0.5268 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5805 | L1_sum: 0.1927 | L2_sum: 25.2321 
Epoch  5200 | Loss: 0.001738 | s_MSE: 0.000037 | Delta_MSE: 0.000054 | LR: 1.0e-03 | Grad: 0.3454 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5806 | L1_sum: 0.2058 | L2_sum: 25.1738 
Epoch  5300 | Loss: 0.001738 | s_MSE: 0.000050 | Delta_MSE: 0.000043 | LR: 1.0e-03 | Grad: 0.2885 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5780 | L1_sum: 0.1975 | L2_sum: 25.2213 
Epoch  5400 | Loss: 0.001713 | s_MSE: 0.000043 | Delta_MSE: 0.000032 | LR: 1.0e-03 | Grad: 0.0525 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5795 | L1_sum: 0.1894 | L2_sum: 25.2226 
Epoch  5500 | Loss: 0.001812 | s_MSE: 0.000123 | Delta_MSE: 0.000071 | LR: 1.0e-03 | Grad: 0.6791 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5784 | L1_sum: 0.1962 | L2_sum: 25.0998 
Epoch  5600 | Loss: 0.003256 | s_MSE: 0.001130 | Delta_MSE: 0.000479 | LR: 1.0e-03 | Grad: 1.1254 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5829 | L1_sum: 0.1545 | L2_sum: 25.3446 
Epoch  5700 | Loss: 0.001736 | s_MSE: 0.000045 | Delta_MSE: 0.000083 | LR: 1.0e-03 | Grad: 0.2831 | B_mean: 0.0030 | B0_calc: 0.0001 | Mass_mean: 0.5804 | L1_sum: 0.1791 | L2_sum: 25.1467 
Epoch  5800 | Loss: 0.000459 | s_MSE: 0.000095 | Delta_MSE: 0.000063 | LR: 1.0e-03 | Grad: 0.1986 | B_mean: 0.0026 | B0_calc: 0.0001 | Mass_mean: 0.6016 | L1_sum: 0.2086 | L2_sum: 12.5687 
Epoch  5900 | Loss: 0.000076 | s_MSE: 0.000026 | Delta_MSE: 0.000035 | LR: 1.0e-03 | Grad: 0.0483 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.6010 | L1_sum: 0.1863 | L2_sum: 3.3871 
Epoch  6000 | Loss: 0.000095 | s_MSE: 0.000033 | Delta_MSE: 0.000049 | LR: 1.0e-03 | Grad: 0.2309 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.6081 | L1_sum: 0.1806 | L2_sum: 2.9064 
Plots saved to d:\pycharm\热OCD输运性质\Gribov\淘宝超算\PINN_11\result_plot_epoch_6000.png
Epoch  6100 | Loss: 0.000064 | s_MSE: 0.000024 | Delta_MSE: 0.000031 | LR: 1.0e-03 | Grad: 0.0071 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.6060 | L1_sum: 0.1932 | L2_sum: 1.9548 
Epoch  6200 | Loss: 0.000060 | s_MSE: 0.000021 | Delta_MSE: 0.000032 | LR: 1.0e-03 | Grad: 0.0245 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.6021 | L1_sum: 0.2023 | L2_sum: 1.1516 
Epoch  6300 | Loss: 0.000065 | s_MSE: 0.000027 | Delta_MSE: 0.000028 | LR: 1.0e-03 | Grad: 0.0341 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.6040 | L1_sum: 0.2048 | L2_sum: 1.7508 
Epoch  6400 | Loss: 0.000058 | s_MSE: 0.000022 | Delta_MSE: 0.000028 | LR: 1.0e-03 | Grad: 0.0052 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.6017 | L1_sum: 0.2027 | L2_sum: 1.1582 
Epoch  6500 | Loss: 0.000078 | s_MSE: 0.000026 | Delta_MSE: 0.000045 | LR: 1.0e-03 | Grad: 0.1844 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.5980 | L1_sum: 0.2222 | L2_sum: 0.5292 
Epoch  6600 | Loss: 0.000070 | s_MSE: 0.000020 | Delta_MSE: 0.000045 | LR: 1.0e-03 | Grad: 0.0620 | B_mean: 0.0023 | B0_calc: 0.0001 | Mass_mean: 0.6016 | L1_sum: 0.2008 | L2_sum: 0.6201 
